# Global options shall be first as the configure numbr of boards. Etc;;;;;;;;;;;;;;;;
gOptHeader;maxSlaveBrds;troubleLatch;tamperBpsOpt;tamperOpts;antiMaskOpt;rfSprvsOpt;restrOnTamper;restrOnBell;restrOnBatFail;restrOnBrdFail;restrOnAntimask;restrOnACfail;restrOnSprvsLoss;;;
zone;11;H24_GAS;3;REPORT_ALARM;FALSE;TRUE;MASTER_ZONE12;0;FALSE;FALSE;FALSE;TRUE;ALARM;TRUE;ALARM;
zone;12;H24_HEAT;4;STEADY_ALARM;FALSE;TRUE;MASTER_ZONE13;0;TRUE;FALSE;FALSE;FALSE;DISABLE;FALSE;DISABLE;
zone;13;H24_WATER;5;PULSED_ALARM;FALSE;TRUE;MASTER_ZONE14;0;FALSE;FALSE;FALSE;TRUE;TROUBLE_ONLY;TRUE;TROUBLE_ONLY;
zone;14;H24_FREEZE;6;SILENT_ALARM;FALSE;TRUE;MASTER_ZONE15;0;FALSE;FALSE;FALSE;FALSE;ALARM_WHEN_ARMED;FALSE;ALARM_WHEN_ARMED;
zone;15;H24_FIRE_DELAYED;7;REPORT_ALARM;FALSE;TRUE;MASTER_ZONE16;0;FALSE;FALSE;FALSE;TRUE;ALARM;TRUE;ALARM;
zone;16;H24_FIRE_STANDARD;0;STEADY_ALARM;FALSE;TRUE;MASTER_ZONE17;0;FALSE;FALSE;FALSE;TRUE;DISABLE;TRUE;ALARM_WHEN_ARMED;
#;;;;;;;;;;;;;;;;
pHeader;valid;PartitonName;partIdx;forceOnRegArm;forceOnStayArm;followZoneEntryDelay2;alarmOutputEn;alarmCutOffTime;noCutOffOnFire;alarmRecycleTime;entryDelay1Interval;entryDelay2Interval;exitDelay;;;
partition;TRUE;PARTITION_1;0;TRUE;TRUE;FALSE;TRUE;5;TRUE;10;15;13;1;;;
partition;TRUE;PARTITION_2;1;TRUE;TRUE;FALSE;TRUE;5;TRUE;10;4;5;15;;;
partition;TRUE;PARTITION_3;2;TRUE;TRUE;FALSE;TRUE;5;TRUE;10;6;7;3;;;
partition;TRUE;PARTITION_4;3;TRUE;TRUE;FALSE;TRUE;5;TRUE;10;8;9;3;;;
partition;TRUE;PARTITION_5;4;TRUE;TRUE;FALSE;TRUE;5;TRUE;10;10;11;3;;;
partition;TRUE;PARTITION_6;5;TRUE;TRUE;FALSE;TRUE;5;TRUE;10;12;13;3;;;
partition;TRUE;PARTITION_7;6;TRUE;TRUE;FALSE;TRUE;5;TRUE;10;14;15;3;;;
partition;TRUE;PARTITION_8;7;TRUE;TRUE;FALSE;TRUE;5;TRUE;10;16;17;3;;;
#;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;
#fHeader;Partition;follows1;follows2;follows3;follows4;follows5;follows6;follows7;follows8;;;;;;;
#follows;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;
#;;;;;;;;;;;;;;;;
pgmHdr;pgmID;pgmName;boardID;pulseLen;;;;;;;;;;;;
pgm;0;MASTER_PGM1;0;;;;;;;;;;;;;
pgm;1;MASTER_PGM2;0;100;;;;;;;;;;;;
pgm;2;MASTER_PGM3;0;200;;;;;;;;;;;;
pgm;3;MASTER_PGM4;0;300;;;;;;;;;;;;
pgm;4;MASTER_PGM5;0;400;;;;;;;;;;;;
pgm;5;MASTER_PGM6;0;500;;;;;;;;;;;;
pgm;6;MASTER_PGM7;0;600;;;;;;;;;;;;
pgm;7;MASTER_PGM8;0;700;;;;;;;;;;;;
