# Global options shall be first as the configure numbr of boards. Etc;;;;;;;;;;;;;;;;;;;
gOptHeader;#;maxSlaveBrds;#;troubleLatch;tamperBpsOpt;tamperOpts;antiMaskOpt;rfSprvsOpt;restrOnTamper;restrOnBell;restrOnBatFail;restrOnBrdFail;restrOnAntimask;restrOnACfail;restrOnSprvsLoss;;;;
globalOpt;;2;;FALSE;FALSE;ALARM_WHEN_ARMED;TROUBLE_ONLY;ALARM_WHEN_ARMED;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;;;;
#
zHeader;zoneName;	zoneID;	zoneType;	zonePartition;	ALARM_TYPE;		BYPASS_EN;	STAY_ZONE;	FORCE_EN;	boardID;	SHUTDWN_EN;	INTELIZONE;	DELAY_TRM;	TAMPER_GLOBAL;	ZONE_TAMPER_OPT;	ANTIMASK_GLOBAL;	ZONE_ANTIMASK_OPT
zone;	2_I_!S_!B_!F;	10;		INSTANT;		0;			STEADY_ALARM;	FALSE;		FALSE;		FALSE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
zone;	2_ED1_!S_B_!F;	11;		ENTRY_DELAY1;	0;			STEADY_ALARM;	TRUE;		FALSE;		FALSE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
#zone;	2_ED2_!S_!B_F;	12;		ENTRY_DELAY1;	0;			STEADY_ALARM;	FALSE;		FALSE;		TRUE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
#zone;	2_ED2_!S_B_F;	13;		ENTRY_DELAY2;	0;			STEADY_ALARM;	TRUE;		FALSE;		TRUE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
#zone;	2_I_S_!B_!F;	14;		INSTANT;		0;			STEADY_ALARM;	FALSE;		TRUE;		FALSE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
#zone;	2_I_S_B_!F;		15;		STAY_DELAY1;	0;			STEADY_ALARM;	TRUE;		TRUE;		FALSE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
#zone;	2_I_S_!B_F;		16;		STAY_DELAY2_ANTI_MASK;0;	STEADY_ALARM;	FALSE;		TRUE;		TRUE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
#zone;	2_I_S_B_F;		17;		INSTANT;		0;			STEADY_ALARM;	TRUE;		TRUE;		TRUE;		0;			FALSE;		FALSE;		FALSE;		TRUE;			ALARM_WHEN_ARMED;	TRUE;				ALARM_WHEN_ARMED
#
#
pHeader;	valid;	PartitonName;	partIdx;	forceOnRegArm;	forceOnStayArm;	followZoneEntryDelay2;	alarmOutputEn;	alarmCutOffTime;	noCutOffOnFire;	alarmRecycleTime;	entryDelay1Interval;	entryDelay2Interval;	exitDelay
partition;	TRUE;	ROOM_E;			0;			TRUE;			TRUE;			FALSE;					TRUE;			60;					TRUE;			10;					15;						13;						6
#
#;;;;;;;;;;;;;;;;
#Master PGMs;;;;;;;;;;;;;;;;
pgmHdr;#;pgmName;#;pgmID;boardID;;;;;;;;;;;
pgm;1;MASTER_PGM1;;0;0;;;;;;;;;;;
pgm;2;MASTER_PGM2;;1;0;;;;;;;;;;;
pgm;3;MASTER_PGM3;;2;0;;;;;;;;;;;
pgm;4;MASTER_PGM4;;3;0;;;;;;;;;;;
pgm;5;MASTER_PGM5;;4;0;;;;;;;;;;;
pgm;6;MASTER_PGM6;;5;0;;;;;;;;;;;
pgm;7;MASTER_PGM7;;6;0;;;;;;;;;;;
pgm;8;MASTER_PGM8;;7;0;;;;;;;;;;;
#;;;;;;;;;;;;;;;;
#Slave1 PGMs;;;;;;;;;;;;;;;;
pgmHdr;#;pgmName;#;pgmID;boardID;;;;;;;;;;;
pgm;9;SLAVE1_PGM1;;0;1;;;;;;;;;;;
pgm;10;SLAVE1_PGM2;;1;1;;;;;;;;;;;
#;;;;;;;;;;;;;;;;
#Slave2 PGMs;;;;;;;;;;;;;;;;
pgmHdr;#;pgmName;#;pgmID;boardID;;;;;;;;;;;
pgm;11;SLAVE2_PGM1;;0;2;;;;;;;;;;;
pgm;12;SLAVE2_PGM2;;1;2;;;;;;;;;;;
#;;;;;;;;;;;;;;;;

