# Global options shall be first as the configure numbr of boards. Etc;;;;;;;;;;;;;;;;;;;
gOptHeader;#;maxSlaveBrds;#;troubleLatch;tamperBpsOpt;tamperOpts;antiMaskOpt;rfSprvsOpt;restrOnTamper;restrOnBell;restrOnBatFail;restrOnBrdFail;restrOnAntimask;restrOnACfail;restrOnSprvsLoss;;;;
zone;10;Kuhnia_vrata_MUK;6;Z3A;10;DISABLED;0;STEADY_ALARM;TRUE;TRUE;FALSE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;11;Garajna_vrata;14;Z3A;11;DISABLED;0;STEADY_ALARM;TRUE;FALSE;TRUE;FALSE;ALARM_WHEN_ARMED;TRUE;ALARM_WHEN_ARMED;0;FALSE;FALSE;FALSE
zone;18;Vzone_REF;;Z1B;18;DISABLED;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
zone;19;ADC_AUX;;Z2B;19;DISABLED;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
zone;20;ADC_VBAT;;Z3B;20;DISABLED;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
#;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;
#Master PGMs;;;;;;;;;;;;;;;;;;;
pgmHdr;#;pgmName;#;pgmID;boardID;;;;;;;;;;;;;;
pgm;1;MASTER_PGM1;;0;0;;;;;;;;;;;;;;
pgm;2;MASTER_PGM2;;1;0;;;;;;;;;;;;;;
pgm;3;MASTER_PGM3;;2;0;;;;;;;;;;;;;;
pgm;4;MASTER_PGM4;;3;0;;;;;;;;;;;;;;
pgm;5;MASTER_PGM5;;4;0;;;;;;;;;;;;;;
pgm;6;MASTER_PGM6;;5;0;;;;;;;;;;;;;;
pgm;7;MASTER_PGM7;;6;0;;;;;;;;;;;;;;
pgm;8;MASTER_PGM8;;7;0;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;
# Pdox label;;#;Label;No:;Switch to force on regular Arm;Switch to force onstay Arm;Folow zone switches to Entry Delay 2;Bell output;Bell cut-off time;;;Entry Delay 1;Entry Delay 2;Exit Delay;;;"??? Special Arm exit delay; Disarm Delay; Exit delay termination; no exit delay upon Arm via remote";;
pHeader;valid;#;PartitonName;partIdx;forceOnRegArm;forceOnStayArm;followZoneEntryDelay2;alarmOutputEn;alarmCutOffTime;noCutOffOnFire;alarmRecycleTime;entryDelay1Interval;entryDelay2Interval;exitDelay;;;;;
partition;TRUE;;PART_0;0;TRUE;TRUE;FALSE;TRUE;60;TRUE;10;15;13;1;;;;;
partition;TRUE;;PART_1;1;TRUE;TRUE;FALSE;TRUE;61;TRUE;10;4;5;15;;;;;
partition;TRUE;;;;;;;;;;;;;;;;;;
partition;TRUE;;;;;;;;;;;;;;;;;;
partition;TRUE;;;;;;;;;;;;;;;;;;
partition;TRUE;;;;;;;;;;;;;;;;;;
partition;FALSE;;;;;;;;;;;;;;;;;;
partition;FALSE;;;;;;;;;;;;;;;;;;
